ts_code,year,month,fund_name,上证50,消费50,红利指数,yearmth
004805.OF,2023,3,长信消费精选行业量化A,0.07239644098098699,0.4376255506580301,0.0,202303
004809.OF,2022,12,前海联合润丰A,0.0806279671579983,0.0,0.0,202212
004812.OF,2023,3,中欧先进制造A,0.12643315686486373,0.03572505554900545,0.0,202303
004814.OF,2023,3,中欧红利优享A,0.1562551784502029,0.0,0.0,202303
004823.OF,2023,3,摩根安裕回报A,0.020217662760010843,0.0,0.0,202303
004833.OF,2023,3,先锋聚利A,0.033037400918756794,0.0,0.0,202303
004836.OF,2023,3,中融鑫价值A,0.02836298580607768,0.0,0.016950650896966665,202303
004848.OF,2023,3,中欧睿泓定期开放,0.03420163000575775,0.0,0.0,202303
004851.OF,2023,3,广发医疗保健A,0.14476562464744297,0.0,0.0,202303
004854.OF,2023,3,广发中证全指汽车A,0.2175056951776219,0.27259962662143106,0.0,202303
004856.OF,2023,3,广发中证全指建筑材料A,0.13905554102017484,0.0,0.16567591682886598,202303
004868.OF,2023,3,交银股息优化,0.15240137341508309,0.121706514290156,0.0,202303
004871.OF,2023,3,中银金融地产A,0.21833109741606974,0.0,0.08533497947003996,202303
004881.OF,2023,3,中银量化价值A,0.11047108979218498,0.06159523360956185,0.0,202303
004900.OF,2023,3,财通资管鑫锐A,0.014787821936881655,0.008618811410621353,0.0,202303
004905.OF,2022,12,华泰柏瑞生物医药A,0.024198900285626972,0.0,0.0,202212
004916.OF,2023,3,嘉实新添丰定开,0.004259319413654847,0.0,0.004259319413654847,202303
004926.OF,2023,3,中航军民融合精选A,0.09394716940243432,0.0,0.0,202303
004934.OF,2023,3,圆信永丰消费升级,0.15280751686972055,0.15280751686972055,0.0,202303
004936.OF,2023,3,中航混改精选A,0.25984829355604716,0.0,0.0,202303
004942.OF,2023,3,格林伯元A,0.23963749898980374,0.3256872203383325,0.0,202303
004944.OF,2023,3,鑫元鑫趋势A,0.17818920466678279,0.12333782915047488,0.0,202303
004946.OF,2023,3,汇添富盈润A,0.025300705457035205,0.013945392817614971,0.0,202303
